asin,sku,date,sales,spend,clicks,impressions,orders,conversion_rate,acos,roas,ctr,cpc,conversions,same_sku_sales,same_sku_orders,daily_budget,total_budget,max_spend,avg_spend,total_sales,total_acos,total_units,organic_sales,organic_orders,page_views,ad_sales_perc,tos_is,aov,sessions,buy_box_percentage,browser_sessions,mobile_app_sessions
B0FFTRGS8F,"""None""","""2026-03-04""",1311.42,22.33,7,1055,3,0.428571,0.017,58.73,0.0066,3.19,3,1311.42,3,,,,,437.14,5.11,1,0,0,13,300,,437.14,0,,0,0
B0CTNSNCJ7,"""None""","""2026-03-02""",1444.77,1.45,1,316,3,3,0.001,996.39,0.0032,1.45,3,1444.77,3,,,,,0,,0,0,0,9,,,481.59,0,,0,0
B0CTNX6XV1,"""None""","""2026-03-20""",1340.96,18.52,9,401,3,0.333333,0.0138,72.41,0.0224,2.06,3,1340.96,3,,,,,0,,0,0,0,14,,,446.986667,0,,0,0
B0FGVLMF2W,"""None""","""2026-03-15""",1521.9,22.91,5,2028,2,0.4,0.0151,66.43,0.0025,4.58,2,1521.9,2,,,,,0,,0,0,0,6,,,760.95,0,,0,0
B0F32RCXPD,"""None""","""2026-03-20""",1331.42,31.7,13,4863,2,0.153846,0.0238,42,0.0027,2.44,2,1331.42,2,,,,,0,,0,0,0,14,,,665.71,0,,0,0
B0FFTN766H,"""None""","""2026-03-14""",475.24,5.73,2,670,2,1,0.0121,82.94,0.003,2.87,2,475.24,2,,,,,0,,0,0,0,5,,,237.62,0,,0,0
B0F32RNHF3,"""None""","""2026-03-05""",618.1,129.67,36,6659,2,0.055556,0.2098,4.77,0.0054,3.6,2,618.1,2,,,,,0,,0,0,0,46,,,309.05,0,,0,0
B0FFTM3SHF,"""None""","""2026-03-27""",950.48,9.57,3,340,2,0.666667,0.0101,99.32,0.0088,3.19,2,950.48,2,,,,,0,,0,0,0,6,,,475.24,0,,0,0
B0F32RZV3J,"""None""","""2026-03-08""",1283.81,121.61,43,8550,2,0.046512,0.0947,10.56,0.005,2.83,2,1283.81,2,,,,,0,,0,0,0,51,,,641.905,0,,0,0
B0F32RZV3J,"""None""","""2026-03-17""",1327.61,3.12,1,108,2,2,0.0024,425.52,0.0093,3.12,2,1327.61,2,,,,,0,,0,0,0,2,,,663.805,0,,0,0
B0CTNS5C6R,"""None""","""2026-03-18""",494.29,2.18,1,55,1,1,0.0044,226.74,0.0182,2.18,1,494.29,1,,,,,0,,0,0,0,9,,,494.29,0,,0,0
B0FGVMJHQK,"""None""","""2026-03-07""",703.81,5.82,1,1,1,1,0.0083,120.93,1,5.82,1,703.81,1,,,,,0,,0,0,0,0,,,703.81,0,,0,0
B0DG2Y6CZ1,"""None""","""2026-03-04""",437.14,4.74,3,324,1,0.333333,0.0108,92.22,0.0093,1.58,1,437.14,1,,,,,0,,0,0,0,8,,,437.14,0,,0,0
B0DG2Y6CZ1,"""None""","""2026-03-05""",437.14,5.01,4,188,1,0.25,0.0115,87.25,0.0213,1.25,1,437.14,1,,,,,0,,0,0,0,8,,,437.14,0,,0,0
B0FGVM948F,"""None""","""2026-03-24""",757.14,4.55,1,45,1,1,0.006,166.4,0.0222,4.55,1,757.14,1,,,,,0,,0,0,0,1,,,757.14,0,,0,0
B0FGVLRY3G,"""None""","""2026-03-31""",760.95,51.18,5,627,1,0.2,0.0673,14.87,0.008,10.24,1,760.95,1,,,,,0,,0,0,0,12,,,760.95,0,,0,0
B0FFTQSSXK,"""None""","""2026-03-17""",475.24,2.66,1,86,1,1,0.0056,178.66,0.0116,2.66,1,475.24,1,,,,,0,,0,0,0,1,,,475.24,0,,0,0
B0FFTL8TPT,"""None""","""2026-03-31""",475.24,10.66,3,400,1,0.333333,0.0224,44.58,0.0075,3.55,1,475.24,1,,,,,0,,0,0,0,3,,,475.24,0,,0,0
B0FFTQRMC8,"""None""","""2026-03-24""",475.24,11.42,4,902,1,0.25,0.024,41.61,0.0044,2.85,1,475.24,1,,,,,0,,0,0,0,4,,,475.24,0,,0,0
B0FFTPWLB4,"""None""","""2026-03-04""",437.14,5.46,2,908,1,0.5,0.0125,80.06,0.0022,2.73,1,437.14,1,,,,,0,,0,0,0,2,,,437.14,0,,0,0
B0FFTPWLB4,"""None""","""2026-03-10""",475.24,26.73,11,6870,1,0.090909,0.0562,17.78,0.0016,2.43,1,475.24,1,,,,,475.24,5.62,1,0,0,18,100,,475.24,0,,0,0
B0FFTPWLB4,"""None""","""2026-03-11""",475.24,32.99,13,3283,1,0.076923,0.0694,14.41,0.004,2.54,1,475.24,1,,,,,0,,0,0,0,14,,,475.24,0,,0,0
B0F32V5G2L,"""None""","""2026-03-16""",665.71,1.53,1,206,1,1,0.0023,435.1,0.0049,1.53,1,665.71,1,,,,,0,,0,0,0,1,,,665.71,0,,0,0
B0F32V5G2L,"""None""","""2026-03-20""",665.71,9.96,4,899,1,0.25,0.015,66.84,0.0044,2.49,1,665.71,1,,,,,0,,0,0,0,7,,,665.71,0,,0,0
B0CWLJY2N9,"""None""","""2026-03-09""",494.29,3.87,3,189,1,0.333333,0.0078,127.72,0.0159,1.29,1,0,0,,,,,0,,0,0,0,3,,,494.29,0,,0,0
B0F32QCQDM,"""None""","""2026-03-24""",661.9,7.8,2,153,1,0.5,0.0118,84.86,0.0131,3.9,1,661.9,1,,,,,0,,0,0,0,2,,,661.9,0,,0,0
B0F32QCQDM,"""None""","""2026-03-30""",665.71,90.83,21,6491,1,0.047619,0.1364,7.33,0.0032,4.33,1,665.71,1,,,,,0,,0,0,0,19,,,665.71,0,,0,0
B0FFTRSSD5,"""None""","""2026-03-08""",437.14,3.52,1,30,1,1,0.0081,124.19,0.0333,3.52,1,437.14,1,,,,,0,,0,0,0,4,,,437.14,0,,0,0
B0FFTRSSD5,"""None""","""2026-03-20""",475.24,2.84,1,1418,1,1,0.006,167.34,0.0007,2.84,1,475.24,1,,,,,0,,0,0,0,3,,,475.24,0,,0,0
B0FFTM7535,"""None""","""2026-03-16""",475.24,2.69,1,154,1,1,0.0057,176.67,0.0065,2.69,1,475.24,1,,,,,0,,0,0,0,1,,,475.24,0,,0,0
B0FFTMP71D,"""None""","""2026-03-31""",471.43,3.83,1,30,1,1,0.0081,123.09,0.0333,3.83,1,471.43,1,,,,,471.43,0.81,0,0,0,2,100,,471.43,0,,0,0
B0F32RCXPD,"""None""","""2026-03-02""",618.1,8.67,3,318,1,0.333333,0.014,71.29,0.0094,2.89,1,618.1,1,,,,,0,,0,0,0,7,,,618.1,0,,0,0
B0F32RCXPD,"""None""","""2026-03-06""",618.1,6.96,4,745,1,0.25,0.0113,88.81,0.0054,1.74,1,618.1,1,,,,,0,,0,0,0,11,,,618.1,0,,0,0
B0F32RCXPD,"""None""","""2026-03-28""",661.9,35.35,13,5733,1,0.076923,0.0534,18.72,0.0023,2.72,1,661.9,1,,,,,0,,0,0,0,13,,,661.9,0,,0,0
B0FGVKRZBF,"""None""","""2026-03-13""",760.95,26.73,6,820,1,0.166667,0.0351,28.47,0.0073,4.46,1,760.95,1,,,,,0,,0,0,0,5,,,760.95,0,,0,0
B0FFTRGS8F,"""None""","""2026-03-19""",475.24,8.42,3,299,1,0.333333,0.0177,56.44,0.01,2.81,1,475.24,1,,,,,0,,0,0,0,4,,,475.24,0,,0,0
B0FFTRGS8F,"""None""","""2026-03-24""",471.43,3.18,1,64,1,1,0.0067,148.25,0.0156,3.18,1,471.43,1,,,,,0,,0,0,0,5,,,471.43,0,,0,0
B0FFTRGS8F,"""None""","""2026-03-26""",471.43,11.26,3,91,1,0.333333,0.0239,41.87,0.033,3.75,1,471.43,1,,,,,0,,0,0,0,6,,,471.43,0,,0,0
B0CTNRLJMJ,"""None""","""2026-03-18""",490.48,3.62,2,131,1,0.5,0.0074,135.49,0.0153,1.81,1,0,0,,,,,0,,0,0,0,11,,,490.48,0,,0,0
B0CTNRLJMJ,"""None""","""2026-03-28""",490.48,12.58,8,702,1,0.125,0.0256,38.99,0.0114,1.57,1,0,0,,,,,0,,0,0,0,20,,,490.48,0,,0,0
B0FFTN766H,"""None""","""2026-03-26""",475.24,14.76,4,615,1,0.25,0.0311,32.2,0.0065,3.69,1,475.24,1,,,,,0,,0,0,0,7,,,475.24,0,,0,0
B0FFTN766H,"""None""","""2026-03-27""",471.43,10.48,3,635,1,0.333333,0.0222,44.98,0.0047,3.49,1,471.43,1,,,,,0,,0,0,0,5,,,471.43,0,,0,0
B0FGVKLW7W,"""None""","""2026-03-06""",703.81,24.11,5,1593,1,0.2,0.0343,29.19,0.0031,4.82,1,703.81,1,,,,,0,,0,0,0,5,,,703.81,0,,0,0
B0FGVKN83C,"""None""","""2026-03-01""",703.81,3.17,1,10,1,1,0.0045,222.02,0.1,3.17,1,703.81,1,,,,,0,,0,0,0,1,,,703.81,0,,0,0
B0FGVMR98Y,"""None""","""2026-03-18""",760.95,17.88,2,199,1,0.5,0.0235,42.56,0.01,8.94,1,760.95,1,,,,,0,,0,0,0,2,,,760.95,0,,0,0
