asin,sku,date,metrics.sales,metrics.spend,metrics.clicks,metrics.impressions,metrics.orders,metrics.conversion_rate,metrics.acos,metrics.roas,metrics.ctr,metrics.cpc,metrics.conversions,metrics.same_sku_sales,metrics.same_sku_orders,metrics.daily_budget,metrics.total_budget,metrics.max_spend,metrics.avg_spend,metrics.total_sales,metrics.total_acos,metrics.total_units,metrics.organic_sales,metrics.organic_orders,metrics.page_views,metrics.ad_sales_perc,metrics.tos_is,metrics.aov,metrics.sessions,metrics.buy_box_percentage,metrics.browser_sessions,metrics.mobile_app_sessions
B0FDGL8RPH,"""None""","""2026-04-08""",3785.7,2.37,1,2,7,7,0.0006,1597.34,0.5,2.37,7,0,0,,,,,0,,0,0,0,2,,,540.814286,0,,0,0
B0FDGLYMBZ,"""None""","""2026-04-13""",4403.79,46.52,22,1794,6,0.272727,0.0106,94.66,0.0123,2.11,6,2128.56,3,,,,,709.52,6.56,1,0,0,45,620.67,,733.965,0,,0,0
B0G4S4BSY1,"""None""","""2026-04-09""",3797.13,13.55,6,1016,5,0.833333,0.0036,280.23,0.0059,2.26,5,0,0,,,,,0,,0,0,0,26,,,759.426,0,,0,0
B0FDGLYMBZ,"""None""","""2026-04-14""",3219.04,112.42,73,11737,5,0.068493,0.0349,28.63,0.0062,1.54,5,709.52,1,,,,,709.52,15.84,1,0,0,94,453.69,,643.808,0,,0,0
B0G4SBF5L8,"""None""","""2026-04-15""",3219.04,48.13,26,2667,4,0.153846,0.015,66.88,0.0097,1.85,4,0,0,,,,,0,,0,0,0,45,,,804.76,0,,0,0
B0G4SDHVS2,"""None""","""2026-04-21""",2271.42,90.71,33,3569,4,0.121212,0.0399,25.04,0.0092,2.75,4,757.14,1,,,,,757.14,11.98,1,0,0,66,300,,567.855,0,,0,0
B0G4VKMDB8,"""None""","""2026-04-12""",3314.28,101.62,38,4634,4,0.105263,0.0307,32.61,0.0082,2.67,4,757.14,1,,,,,757.14,13.42,1,0,0,56,437.74,,828.57,0,,0,0
B0G4S87JCY,"""None""","""2026-04-22""",3028.56,41.64,25,3715,4,0.16,0.0137,72.73,0.0067,1.67,4,0,0,,,,,0,,0,0,0,48,,,757.14,0,,0,0
B0G4SFKZX9,"""None""","""2026-04-16""",3039.99,54.85,27,2287,4,0.148148,0.018,55.42,0.0118,2.03,4,760.95,1,,,,,0,,0,0,0,45,,,759.9975,0,,0,0
B0FDGLRNJX,"""None""","""2026-04-12""",3028.56,51.27,27,2635,4,0.148148,0.0169,59.07,0.0102,1.9,4,1419.04,2,,,,,2838.08,1.81,4,0,0,64,106.71,,757.14,0,,0,0
B0FDGLRNJX,"""None""","""2026-04-17""",3118.09,139.74,56,2891,4,0.071429,0.0448,22.31,0.0194,2.5,4,799.05,1,,,,,1508.57,9.26,2,0,0,82,206.69,,779.5225,0,,0,0
B0G4SBF5L8,"""None""","""2026-04-22""",2557.14,108.98,64,4390,3,0.046875,0.0426,23.46,0.0146,1.7,3,0,0,,,,,757.14,14.39,1,0,0,99,337.74,,852.38,0,,0,0
B0G4S7VDZ8,"""None""","""2026-04-28""",1800,27.56,14,1615,3,0.214286,0.0153,65.31,0.0087,1.97,3,757.14,1,,,,,1514.28,1.82,2,0,0,67,118.87,,600,0,,0,0
B0FDGHYXLC,"""None""","""2026-04-23""",2271.42,148.31,38,4459,3,0.078947,0.0653,15.32,0.0085,3.9,3,0,0,,,,,0,,0,0,0,53,,,757.14,0,,0,0
B0G4SDHVS2,"""None""","""2026-04-28""",2271.42,71.3,23,3325,3,0.130435,0.0314,31.86,0.0069,3.1,3,0,0,,,,,757.14,9.42,1,0,0,64,300,,757.14,0,,0,0
B0G4VKMDB8,"""None""","""2026-04-19""",2271.42,37.21,18,6033,3,0.166667,0.0164,61.04,0.003,2.07,3,1514.28,2,,,,,757.14,4.91,1,0,0,35,300,,757.14,0,,0,0
B0FDGL8RPH,"""None""","""2026-04-27""",1514.28,75.34,25,2002,3,0.12,0.0498,20.1,0.0125,3.01,3,0,0,,,,,0,,0,0,0,37,,,504.76,0,,0,0
B0FDGL8RPH,"""None""","""2026-04-29""",2223.8,84.08,29,2795,3,0.103448,0.0378,26.45,0.0104,2.9,3,0,0,,,,,0,,0,0,0,46,,,741.266667,0,,0,0
B0FDGLJ97G,"""None""","""2026-04-12""",2179.99,39.15,17,3570,3,0.176471,0.018,55.68,0.0048,2.3,3,713.33,1,,,,,709.52,5.52,1,0,0,25,307.25,,726.663333,0,,0,0
B0G4SC6JRS,"""None""","""2026-04-12""",2227.61,24.25,12,1918,3,0.25,0.0109,91.86,0.0063,2.02,3,757.14,1,,,,,757.14,3.2,1,0,0,19,294.21,,742.536667,0,,0,0
B0G4SC6JRS,"""None""","""2026-04-19""",2271.42,83.2,35,3000,3,0.085714,0.0366,27.3,0.0117,2.38,3,0,0,,,,,0,,0,0,0,48,,,757.14,0,,0,0
B0G4SC6JRS,"""None""","""2026-04-30""",2271.42,207.43,69,24855,4,0.043478,0.0913,10.95,0.0028,3.01,3,0,0,,,,,0,,0,0,0,88,,,757.14,0,,0,0
B0G4SFKZX9,"""None""","""2026-04-12""",2275.23,26.43,15,1608,3,0.2,0.0116,86.09,0.0093,1.76,3,760.95,1,,,,,760.95,3.47,1,0,0,31,299,,758.41,0,,0,0
B0G4SFKZX9,"""None""","""2026-04-28""",1514.28,24.44,9,1170,3,0.333333,0.0161,61.96,0.0077,2.72,3,1514.28,3,,,,,1514.28,1.61,2,0,0,46,100,,504.76,0,,0,0
B0G4VJ6SD1,"""None""","""2026-04-10""",2275.23,4.01,2,484,3,1.5,0.0018,567.39,0.0041,2,3,0,0,,,,,0,,0,0,0,5,,,758.41,0,,0,0
