asin,sku,date,metrics.sales,metrics.spend,metrics.clicks,metrics.impressions,metrics.orders,metrics.conversion_rate,metrics.acos,metrics.roas,metrics.ctr,metrics.cpc,metrics.conversions,metrics.same_sku_sales,metrics.same_sku_orders,metrics.daily_budget,metrics.total_budget,metrics.max_spend,metrics.avg_spend,metrics.total_sales,metrics.total_acos,metrics.total_units,metrics.organic_sales,metrics.organic_orders,metrics.page_views,metrics.ad_sales_perc,metrics.tos_is,metrics.aov,metrics.sessions,metrics.buy_box_percentage,metrics.browser_sessions,metrics.mobile_app_sessions
B0CQXS7Y7Z,"""None""","""2026-05-02""",10418.08,591.21,112,14122,7,0.0625,0.0567,17.62,0.0079,5.28,7,9220.94,6,,,,,0,,0,0,0,141,,,1488.297143,0,,0,0
B0CQXS7Y7Z,"""None""","""2026-05-04""",8254.27,549.31,116,13524,7,0.060345,0.0665,15.03,0.0086,4.74,7,8254.27,7,,,,,0,,0,0,0,138,,,1179.181429,0,,0,0
B0CQXS7Y7Z,"""None""","""2026-05-01""",6472.38,562.33,115,13789,5,0.043478,0.0869,11.51,0.0083,4.89,5,5275.24,4,,,,,0.0,,0,0,0,153,,,1294.476,0,,0,0
B0D7MT9KTH,"""None""","""2026-05-06""",8639.98,27.31,7,470,6,0.714286,0.0032,316.37,0.0149,3.9,5,8639.98,6,,,,,0,,0,0,0,10,,,1727.996,0,,0,0
B08F3RMP9S,"""None""","""2026-05-02""",12818.1,176.64,137,37747,5,0.036496,0.0138,72.57,0.0036,1.29,5,12818.1,5,,,,,1964.76,8.99,1,0,0,191,652.4,,2563.62,0,,0,0
B0BRXYLKP5,"""None""","""2026-05-26""",7471.43,2.17,1,927,5,5.0,0.0003,3443.06,0.0011,2.17,5,0,0,,,,,3426.67,0.06,1,0,0,8,218.04,,1494.286,0,,0,0
B08WCD9NTV,"""None""","""2026-05-13""",8355.24,140.02,77,22058,4,0.051948,0.0168,59.67,0.0035,1.82,4,8355.24,4,,,,,1820.0,7.69,1,0,0,179,459.08,,2088.81,0,,0,0
B0CQXS7Y7Z,"""None""","""2026-05-07""",3467.62,626.24,110,16535,3,0.027273,0.1806,5.54,0.0067,5.69,3,1199.05,1,,,,,0,,0,0,0,151,,,1155.873333,0,,0,0
B0CQXS7Y7Z,"""None""","""2026-05-08""",3591.42,1101.68,147,28750,3,0.020408,0.3068,3.26,0.0051,7.49,3,3591.42,3,,,,,1197.14,92.03,1,0,0,197,300.0,,1197.14,0,,0,0
B0CQXS7Y7Z,"""None""","""2026-05-09""",2394.28,943.83,124,22093,3,0.024194,0.3942,2.54,0.0056,7.61,3,2394.28,3,,,,,1197.14,78.84,1,0,0,163,200.0,,798.093333,0,,0,0
B0CQXS7Y7Z,"""None""","""2026-05-13""",4575.23,559.85,68,15112,3,0.044118,0.1224,8.17,0.0045,8.23,3,4575.23,3,,,,,0,,0,0,0,91,,,1525.076667,0,,0,0
B0CQXS7Y7Z,"""None""","""2026-05-17""",4040.0,580.76,83,14129,3,0.036145,0.1438,6.96,0.0059,7.0,3,4040.0,3,,,,,0,,0,0,0,109,,,1346.666667,0,,0,0
B0CQXS7Y7Z,"""None""","""2026-05-23""",3513.33,486.74,82,8871,3,0.036585,0.1385,7.22,0.0092,5.94,3,3513.33,3,,,,,0,,0,0,0,109,,,1171.11,0,,0,0
B0CQXS7Y7Z,"""None""","""2026-05-25""",3454.28,473.82,77,8670,3,0.038961,0.1372,7.29,0.0089,6.15,3,2314.28,2,,,,,1157.14,40.95,1,0,0,101,298.52,,1151.426667,0,,0,0
B0CQXS7Y7Z,"""None""","""2026-05-29""",3761.9,293.63,54,10032,3,0.055556,0.0781,12.81,0.0054,5.44,3,3761.9,3,,,,,1157.14,25.38,1,0,0,98,325.1,,1253.966667,0,,0,0
B0CQXTPJ3T,"""None""","""2026-05-08""",3593.33,268.13,36,12986,3,0.083333,0.0746,13.4,0.0028,7.45,3,2396.19,2,,,,,2394.28,11.2,3,0,0,83,150.08,,1197.776667,0,,0,0
B09M88DHZQ,"""None""","""2026-05-06""",13128.57,497.0,312,75057,3,0.009615,0.0379,26.42,0.0042,1.59,3,13128.57,3,,,,,4376.19,11.36,1,0,0,525,300.0,,4376.19,0,,0,0
B0D96NQWJK,"""None""","""2026-05-05""",4140.0,136.01,94,23611,3,0.031915,0.0329,30.44,0.004,1.45,3,0,0,,,,,0,,0,0,0,128,,,1380.0,0,,0,0
B0BRL454TX,"""None""","""2026-05-09""",5978.09,37.9,17,2699,3,0.176471,0.0063,157.73,0.0063,2.23,3,3313.33,1,,,,,0,,0,0,0,25,,,1992.696667,0,,0,0
B09M88MG3D,"""None""","""2026-05-20""",7661.91,176.95,113,27767,3,0.026549,0.0231,43.3,0.0041,1.57,3,6853.34,2,,,,,3426.67,5.16,1,0,0,207,223.6,,2553.97,0,,0,0
B0FMKGSRFS,"""None""","""2026-05-16""",3217.14,7.65,1,44,3,3.0,0.0024,420.54,0.0227,7.65,3,3217.14,3,,,,,0,,0,0,0,3,,,1072.38,0,,0,0
B09KC7R1Q3,"""None""","""2026-05-24""",5985.71,39.59,21,4145,3,0.142857,0.0066,151.19,0.0051,1.89,3,5985.71,3,,,,,0,,0,0,0,34,,,1995.236667,0,,0,0
B0CQXRPJYH,"""None""","""2026-05-11""",4416.19,71.56,11,5893,3,0.272727,0.0162,61.71,0.0019,6.51,3,0,0,,,,,0.0,,0,0,0,37,,,1472.063333,0,,0,0
