asin,sku,date,metrics.sales,metrics.spend,metrics.clicks,metrics.impressions,metrics.orders,metrics.conversion_rate,metrics.acos,metrics.roas,metrics.ctr,metrics.cpc,metrics.conversions,metrics.same_sku_sales,metrics.same_sku_orders,metrics.daily_budget,metrics.total_budget,metrics.max_spend,metrics.avg_spend,metrics.total_sales,metrics.total_acos,metrics.total_units,metrics.organic_sales,metrics.organic_orders,metrics.page_views,metrics.ad_sales_perc,metrics.tos_is,metrics.aov,metrics.sessions,metrics.buy_box_percentage,metrics.browser_sessions,metrics.mobile_app_sessions
B0G4GZTQBC,"""None""","""2026-05-27""",7603.84,6.23,1,16,18,7.0,0.0008,1220.52,0.0625,6.23,7,7603.84,18,,,,,1425.72,0.44,3,0,0,3,533.33,,1086.262857,0,,0,0
B0G4RDH148,"""None""","""2026-05-22""",1425.72,33.6,4,213,3,0.75,0.0236,42.43,0.0188,8.4,3,1425.72,3,,,,,0,,0,0,0,6,,,475.24,0,,0,0
B0G5YQBGJR,"""None""","""2026-05-25""",1425.72,13.1,2,165,3,1.5,0.0092,108.83,0.0121,6.55,3,1425.72,3,,,,,0,,0,0,0,3,,,475.24,0,,0,0
B0G4RHY2GD,"""None""","""2026-05-24""",475.24,6.95,1,29,2,2.0,0.0146,68.38,0.0345,6.95,2,475.24,2,,,,,0,,0,0,0,1,,,237.62,0,,0,0
B0GN3H799F,"""None""","""2026-05-27""",950.48,31.34,3,104,2,0.666667,0.033,30.33,0.0288,10.45,2,950.48,2,,,,,0,,0,0,0,5,,,475.24,0,,0,0
B0G4H2393S,"""None""","""2026-05-28""",475.24,28.83,3,324,2,0.666667,0.0607,16.48,0.0093,9.61,2,475.24,2,,,,,0,,0,0,0,2,,,237.62,0,,0,0
B0G5YF46D8,"""None""","""2026-05-25""",475.24,16.64,2,39,1,0.5,0.035,28.56,0.0513,8.32,1,475.24,1,,,,,0,,0,0,0,2,,,475.24,0,,0,0
B0GN3D9518,"""None""","""2026-05-24""",475.24,6.84,1,8,1,1.0,0.0144,69.48,0.125,6.84,1,475.24,1,,,,,475.24,1.44,1,0,0,1,100.0,,475.24,0,,0,0
B0GBXC399T,"""None""","""2026-05-31""",475.24,12.42,1,121,1,1.0,0.0261,38.26,0.0083,12.42,1,475.24,1,,,,,0,,0,0,0,1,,,475.24,0,,0,0
B0G5PNP8Q3,"""None""","""2026-05-24""",475.24,9.51,1,7,1,1.0,0.02,49.97,0.1429,9.51,1,475.24,1,,,,,0,,0,0,0,1,,,475.24,0,,0,0
B0G3XQFGJQ,"""None""","""2026-05-30""",1046.67,8.83,1,80,1,1.0,0.0084,118.54,0.0125,8.83,1,0,0,,,,,0,,0,0,0,0,,,1046.67,0,,0,0
B0G4H3BNWG,"""None""","""2026-05-26""",475.24,66.76,10,1987,1,0.1,0.1405,7.12,0.005,6.68,1,475.24,1,,,,,0,,0,0,0,11,,,475.24,0,,0,0
B0GMRJR43L,"""None""","""2026-05-26""",1046.67,18.81,3,227,1,0.333333,0.018,55.64,0.0132,6.27,1,1046.67,1,,,,,0,,0,0,0,3,,,1046.67,0,,0,0
B0GC7QCHYD,"""None""","""2026-05-27""",475.24,8.06,1,157,1,1.0,0.017,58.96,0.0064,8.06,1,475.24,1,,,,,0,,0,0,0,1,,,475.24,0,,0,0
