"ASIN Code","Parent ASIN","SKU","Product Title","Brand","Category","Current Price (₹)","MRP (₹)","Best Seller Rank","Rating","Review Count","LQS Score","Sold By (Current BuyBox)","Tags"
"B07V41L1DZ","B0CSKSG55Z","GT01_FullStriped_YP_XL","Fabricorn Stylish Striped V-Neck Tshirt for Women","117-FABRICON","Clothing & Accessories › Women › Western Wear › Tops, T-Shirts & Shirts › T-Shirts","399","1199","3359","3.6","323","83","Cocoblu Retail","365 + Days"
"B07V62TYT1","B0CSKSG55Z","GT01_FullStriped_YP_L","Fabricorn Stylish Striped V-Neck Tshirt for Women","117-FABRICON","Clothing & Accessories › Women › Western Wear › Tops, T-Shirts & Shirts › T-Shirts","399","1199","2243","3.6","323","32","Fabricorn Apparels","365 + Days"
"B07VLRZBGF","B0DJFYG1BF","GT03_RedWhtBlk_S","Fabricorn Stylish Red White Black Cotton Tshirt for Women","117-FABRICON","Clothing & Accessories › Women › Western Wear › Tops, T-Shirts & Shirts › T-Shirts","399","1199","7524","4.4","18","86","Fabricorn Apparels","365 + Days"
"B07VNXHWSX","B0DJFYG1BF","GT03_RedWhtBlk_XL","Fabricorn Stylish Red White Black Cotton Tshirt for Women","117-FABRICON","Clothing & Accessories › Women › Western Wear › Tops, T-Shirts & Shirts › T-Shirts","399","1199","7522","4.4","18","86","Cocoblu Retail","365 + Days"
"B07VR4BSGW","B0DGKWVR6Y","GT02_MrnHalfStrip_YP_M","Fabricorn White Black Striped with Yellow Pocket Cotton Tshirt for Women","117-FABRICON","Clothing & Accessories › Women › Western Wear › Tops, T-Shirts & Shirts › T-Shirts","379","1199","14266","3.7","217","85","Fabricorn Apparels","365 + Days"
"B07VS7L5T3","B0DJFYG1BF","GT03_RedWhtBlk_M","Fabricorn Stylish Red White Black Cotton Tshirt for Women","117-FABRICON","Clothing & Accessories › Women › Western Wear › Tops, T-Shirts & Shirts › T-Shirts","399","1199","7522","4.4","18","86","Cocoblu Retail","365 + Days"
"B07VSVHKPT","B0DGKWVR6Y","GT02_MrnHalfStrip_YP_XL","Fabricorn White Black Striped with Yellow Pocket Cotton Tshirt for Women","117-FABRICON","Clothing & Accessories › Women › Western Wear › Tops, T-Shirts & Shirts › T-Shirts","399","1199","14266","3.7","217","85","Cocoblu Retail","365 + Days"
"B07W9KX1QT","B07WCN5V32","GT01_Mrn_FrontBackVNeck_XXL","Fabricorn Plain Stylish Maroon V-Neck Cotton Tshirt for Women (Maroon)","117-FABRICON","Clothing & Accessories › Women › Western Wear › Tops, T-Shirts & Shirts › T-Shirts","349","1199","596","3.8","1001","33","Cocoblu Retail","365 + Days"
"B07WD39X2D","B07WCN5V32","GT01_Mrn_FrontBackVNeck_M","Fabricorn Plain Stylish Maroon V-Neck Cotton Tshirt for Women (Maroon)","117-FABRICON","Clothing & Accessories › Women › Western Wear › Tops, T-Shirts & Shirts › T-Shirts","349","1199","577","3.8","1001","88","Cocoblu Retail","365 + Days"
"B07WLKRWFM","B0DGGFT2WH","GT01_Ylw_UpDown_S","Fabricorn Combo of Plain Color Stylish Up and Down Cotton Tshirt for Women","117-FABRICON","Clothing & Accessories › Women › Western Wear › Tops, T-Shirts & Shirts › T-Shirts","399","1199","13","4","15044","85","Cocoblu Retail","365 + Days"
