"ASIN Code","Parent ASIN","SKU","Product Title","Brand","Category","Current Price (₹)","MRP (₹)","Best Seller Rank","Rating","Review Count","LQS Score","Sold By (Current BuyBox)","Tags"
"B07V2MRTF9",,"11180-FBA","KI High-Pressure ABS Health Faucet Jet Spray for Toilet - Chrome Finish, Handheld Design, Superior Performance","809-New Ware","Home Improvement › Kitchen & Bath Fixtures › Bathroom Fixtures › Health Faucets","181","499",,"2.5","2","84","Clicktech Retail Private Ltd",
"B07V2P62BZ",,"20290-FBA","Ki Acrylic Wall Mount Bathroom Shelf/Corner with Brass Bracket - 12x5 Inch - Clear","809-New Ware","Home Improvement › Hardware › Bathroom Hardware › Bathroom Shelves","709","1199",,,,"77","Clicktech Retail Private Ltd",
"B07V2QV1WX",,"14130-FBA",,"809-New Ware",,,,,,,,,
"B07V2SFM6W",,"21130","Ki 1.5 Meter Water Inlet Pipe & Ac Outlet Combo | Inflow Plastic Hose Tube For Semi Automatic Washing Machines | Extension Pipe For Ac Units","809-New Ware","Home & Kitchen › Large Appliances › Parts & Accessories › Washer Parts & Accessories › Hoses","251","399",,"4","332","86","Clicktech Retail Private Ltd",
"B07V2SLWYS",,"21140",,"809-New Ware",,,,,,,,,
"B07V3QX732",,"16020","Unknown Product","809-New Ware",,,,,,,"25",,
"B07V3QZSRD",,"16070",,"809-New Ware",,,,,,,,,
"B07V3VVQ9S",,"14170",,"809-New Ware",,,,,,,,,
"B07V4R19TT",,"16030",,"809-New Ware",,,,,,,,,
"B07V5HJ3B3",,"12011",,"809-New Ware",,,,,,,,,
"B07V5ZG96F",,"21150",,"809-New Ware",,,,,,,,,
"B07V7W754D",,"20890",,"809-New Ware",,,,,,,,,
"B07V7XMTBN",,"35735",,"809-New Ware",,,,,,,,,
"B07V7Z9MP8",,"20790",,"809-New Ware",,,,,,,,,
"B07V7ZFBGC",,"20260",,"809-New Ware",,,,,,,,,
"B07V821SHJ",,"20820",,"809-New Ware",,,,,,,,,
"B07VBNHZWL",,"35850",,"809-New Ware",,,,,,,,,
"B07VBNJ89C",,"20142",,"809-New Ware",,,,,,,,,
"B07VBS4PD8",,"20440",,"809-New Ware",,,,,,,,,
"B07VCR6LKY",,"27910",,"809-New Ware",,,,,,,,,
"B07VCY6PGB",,"25720-FBA",,"809-New Ware",,,,,,,,,
"B07VCY9GTN",,"25750",,"809-New Ware",,,,,,,,,
