"ASIN Code","Parent ASIN","SKU","Product Title","Brand","Category","Current Price (₹)","MRP (₹)","Best Seller Rank","Rating","Review Count","LQS Score","Sold By (Current BuyBox)","Tags","Deal Badge","Discount %"
"B07V2MRTF9",,"11180-FBA","KI High-Pressure ABS Health Faucet Jet Spray for Toilet - Chrome Finish, Handheld Design, Superior Performance",,"Home Improvement › Kitchen & Bath Fixtures › Bathroom Fixtures › Health Faucets","181","499",,"2.5","2","84","Clicktech Retail Private Ltd",,"No deal found","64"
"B07V2P62BZ",,"20290-FBA","Ki Acrylic Wall Mount Bathroom Shelf/Corner with Brass Bracket - 12x5 Inch - Clear",,"Home Improvement › Hardware › Bathroom Hardware › Bathroom Shelves","709","1199",,,,"77","Clicktech Retail Private Ltd",,"No deal found","41"
"B07V2QV1WX",,"14130-FBA",,,,,,,,,,,,,"0"
"B07V2SFM6W",,"21130","Ki 1.5 Meter Water Inlet Pipe & Ac Outlet Combo | Inflow Plastic Hose Tube For Semi Automatic Washing Machines | Extension Pipe For Ac Units",,"Home & Kitchen › Large Appliances › Parts & Accessories › Washer Parts & Accessories › Hoses","251","399",,"4","332","86","Clicktech Retail Private Ltd",,"Ends in 21 hours 42 minutes...","37"
"B07V2SLWYS",,"21140",,,,,,,,,,,,,"0"
"B07V3QX732",,"16020","Unknown Product",,,,,,,,"25",,,"No deal found","0"
"B07V3QZSRD",,"16070",,,,,,,,,,,,,"0"
"B07V3VVQ9S",,"14170",,,,,,,,,,,,,"0"
"B07V4R19TT",,"16030",,,,,,,,,,,,,"0"
"B07V5HJ3B3",,"12011",,,,,,,,,,,,,"0"
"B07V5ZG96F",,"21150",,,,,,,,,,,,,"0"
"B07V7W754D",,"20890",,,,,,,,,,,,,"0"
"B07V7XMTBN",,"35735",,,,,,,,,,,,,"0"
"B07V7Z9MP8",,"20790",,,,,,,,,,,,,"0"
"B07V7ZFBGC",,"20260",,,,,,,,,,,,,"0"
"B07V821SHJ",,"20820",,,,,,,,,,,,,"0"
"B07VBNHZWL",,"35850",,,,,,,,,,,,,"0"
"B07VBNJ89C",,"20142",,,,,,,,,,,,,"0"
"B07VBS4PD8",,"20440",,,,,,,,,,,,,"0"
"B07VCR6LKY",,"27910",,,,,,,,,,,,,"0"
"B07VCY6PGB",,"25720-FBA",,,,,,,,,,,,,"0"
"B07VCY9GTN",,"25750",,,,,,,,,,,,,"0"
"B07VF4BW4G",,"11150-FBA","KI Jet Spray Pipe for Toilet - Stainless Steel Flexible Health Faucet Hose Pipe Tube - Chrome Plated Tube - Heavy Duty Bathroom Accessory - Easy To Use with Durable & Modern Design",,"Home Improvement › Kitchen & Bath Fixtures › Bathroom Fixtures › Health Faucets","609","1219",,"4","1","70","Clicktech Retail Private Ltd",,"Ends in 21 hours 50 minutes...","50"
"B07VFWV65T",,"19520",,,,,,,,,,,,,"0"
"B07VGYGZ3K",,"35150",,,,,,,,,,,,,"0"
"B07VH43XF1",,"20650",,,,,,,,,,,,,"0"
"B07VJ3BM46",,"20520",,,,,,,,,,,,,"0"
"B07VJ43FV9",,"20620",,,,,,,,,,,,,"0"
"B07VJ4BTW6",,"20480",,,,,,,,,,,,,"0"
"B07VJ627HN",,"25710",,,,,,,,,,,,,"0"
"B07VM77CFR",,"22205",,,,,,,,,,,,,"0"
"B07VV5VP4T",,"19160",,,,,,,,,,,,,"0"
"B07VV5VTF5",,"19040",,,,,,,,,,,,,"0"
"B07VW83BCP",,"19143",,,,,,,,,,,,,"0"
"B07VW8FPM9",,"19141",,,,,,,,,,,,,"0"
"B07VW94PYF",,"19171",,,,,,,,,,,,,"0"
"B07VWBLSJK",,"19200-FBA",,,,,,,,,,,,,"0"
"B07VX74D88",,"19480",,,,,,,,,,,,,"0"
"B07VXW6G29",,"22911",,,,,,,,,,,,,"0"
"B07W4TMZWQ",,"19410","KI Waste Pipe for Wash Basin and Sink Basin Flexible Length and Heavy Duty",,"Home Improvement › Kitchen & Bath Fixtures › Bathroom Fixtures › Pipe Fittings & Accessories › Waste Coupling","351","499",,"4.7","4","88","KIDLEN INDIA LLP",,"No deal found","30"
"B07W4TNQPW",,"21160",,,,,,,,,,,,,"0"
"B07W6WRG23",,"21152",,,,,,,,,,,,,"0"
"B07W83NQ9S",,"21040",,,,,,,,,,,,,"0"
"B07W83P5CT",,"21050",,,,,,,,,,,,,"0"
"B07WC5PZG4",,"21190",,,,,,,,,,,,,"0"
"B07WC8JGDL",,"21170",,,,,,,,,,,,,"0"
"B07WC94LJS",,"21180",,,,,,,,,,,,,"0"
