"ASIN Code","Parent ASIN","SKU","Product Title","Brand","Category","Current Price (₹)","MRP (₹)","Best Seller Rank","Rating","Review Count","LQS Score","Sold By (Current BuyBox)","Tags","Sold By (Other BuyBox)","BuyBox Winner"
"B0D44SP9D7","B0D6YK4PL4","BH-RAPID-PEATCH-L","BHARVITA Women's Cotton Embroidered Chikankari Work Straight Kurta Dupatta Pant Set",,"Clothing & Accessories › Women › Ethnic Wear › Kurtas & Kurtis","761","2199",,"3.8","718","32","Cocoblu Retail","365+ Days, Legacy, 30+ Days Live, 60+ Days Live, 90+ Days Live",,"No"
"B0D44TCWXY","B0D6YK4PL4","BH-RAPID-VIOLET-3XL","BHARVITA Women's Cotton Embroidered Chikankari Work Straight Kurta Dupatta Pant Set",,"Clothing & Accessories › Women › Ethnic Wear › Kurtas & Kurtis","783","2199","160","3.8","718","83","Cocoblu Retail","365+ Days, Legacy, 30+ Days Live, 60+ Days Live, 90+ Days Live",,"No"
"B0D44THJ81","B0D6YK4PL4","BH-RAPID-PEATCH-3XL","BHARVITA Women's Cotton Embroidered Chikankari Work Straight Kurta Dupatta Pant Set",,"Clothing & Accessories › Women › Ethnic Wear › Kurtas & Kurtis","761","2199","133","3.8","714","83","Cocoblu Retail","365+ Days, Legacy, 30+ Days Live, 60+ Days Live, 90+ Days Live",,"No"
"B0D44TN9S2","B0D6YK4PL4","BH-RAPID-PINK-XL","BHARVITA Women's Cotton Embroidered Chikankari Work Straight Kurta Dupatta Pant Set",,"Clothing & Accessories › Women › Ethnic Wear › Kurtas & Kurtis","783","2199",,"3.8","718","75","Cocoblu Retail","365+ Days, Legacy, 30+ Days Live, 60+ Days Live, 90+ Days Live",,"No"
"B0D44VMS96","B0D6YK4PL4","BH-RAPID-VIOLET-2XL","BHARVITA Women's Cotton Embroidered Chikankari Work Straight Kurta Dupatta Pant Set",,"Clothing & Accessories › Women › Ethnic Wear › Kurtas & Kurtis","783","2199",,"3.8","718","32","Cocoblu Retail","365+ Days, Legacy, 30+ Days Live, 60+ Days Live, 90+ Days Live",,"No"
"B0D44WM81V","B0D6YK4PL4","BH-RAPID-PINK-L","BHARVITA Women's Cotton Embroidered Chikankari Work Straight Kurta Dupatta Pant Set",,"Clothing & Accessories › Women › Ethnic Wear › Kurtas & Kurtis","783","2199",,"3.8","718","74","Cocoblu Retail","365+ Days, Legacy, 30+ Days Live, 60+ Days Live, 90+ Days Live",,"No"
"B0D44WN4TY","B0D6YK4PL4","BH-RAPID-PEATCH-S","BHARVITA Women's Cotton Embroidered Chikankari Work Straight Kurta Dupatta Pant Set",,"Clothing & Accessories › Women › Ethnic Wear › Kurtas & Kurtis","761","2199","126","3.8","699","83","Cocoblu Retail","365+ Days, Legacy, 30+ Days Live, 60+ Days Live, 90+ Days Live",,"No"
"B0D44XVV2F","B0D6YK4PL4","BH-RAPID-PEATCH-M","BHARVITA Women's Cotton Embroidered Chikankari Work Straight Kurta Dupatta Pant Set",,"Clothing & Accessories › Women › Ethnic Wear › Kurtas & Kurtis","671","2199","160","3.8","718","84","Cocoblu Retail","365+ Days, Legacy, 30+ Days Live, 60+ Days Live, 90+ Days Live",,"No"
"B0D44XYL35","B0D6YK4PL4","BH-RAPID-PEATCH-XL","BHARVITA Women's Cotton Embroidered Chikankari Work Straight Kurta Dupatta Pant Set",,"Clothing & Accessories › Women › Ethnic Wear › Kurtas & Kurtis","671","2199",,"3.8","718","75","Cocoblu Retail","365+ Days, Legacy, 30+ Days Live, 60+ Days Live, 90+ Days Live",,"No"
"B0D44YZSHX","B0D6YK4PL4","BH-RAPID-PINK-2XL","BHARVITA Women's Cotton Embroidered Chikankari Work Straight Kurta Dupatta Pant Set",,"Clothing & Accessories › Women › Ethnic Wear › Kurtas & Kurtis","783","2199",,"3.8","718","32","Cocoblu Retail","365+ Days, Legacy, 30+ Days Live, 60+ Days Live, 90+ Days Live",,"No"
"B0D44Z6FWV","B0D6YK4PL4","BH-RAPID-VIOLET-S","BHARVITA Women's Cotton Embroidered Chikankari Work Straight Kurta Dupatta Pant Set",,"Clothing & Accessories › Women › Ethnic Wear › Kurtas & Kurtis","783","2199",,"3.8","718","32","Cocoblu Retail","365+ Days, Legacy, 30+ Days Live, 60+ Days Live, 90+ Days Live",,"No"
"B0D44ZQZMG","B0D6YK4PL4","BH-RAPID-PEATCH-2XL","BHARVITA Women's Cotton Embroidered Chikankari Work Straight Kurta Dupatta Pant Set",,"Clothing & Accessories › Women › Ethnic Wear › Kurtas & Kurtis","761","2199",,"3.8","718","32","Cocoblu Retail","365+ Days, Legacy, 30+ Days Live, 60+ Days Live, 90+ Days Live",,"No"
"B0D451D25Y","B0D6YK4PL4","BH-RAPID-PINK-M","BHARVITA Women's Cotton Embroidered Chikankari Work Straight Kurta Dupatta Pant Set",,"Clothing & Accessories › Women › Ethnic Wear › Kurtas & Kurtis","783","2199","160","3.8","718","83","Cocoblu Retail","365+ Days, Legacy, 30+ Days Live, 60+ Days Live, 90+ Days Live",,"No"
"B0D452Q34M","B0D6YK4PL4","BH-RAPID-VIOLET-L","BHARVITA Women's Cotton Embroidered Chikankari Work Straight Kurta Dupatta Pant Set",,"Clothing & Accessories › Women › Ethnic Wear › Kurtas & Kurtis","783","2199",,"3.8","718","32","Cocoblu Retail","365+ Days, Legacy, 30+ Days Live, 60+ Days Live, 90+ Days Live",,"No"
"B0D452ZTPW","B0D6YK4PL4","BH-RAPID-VIOLET-XL","BHARVITA Women's Cotton Embroidered Chikankari Work Straight Kurta Dupatta Pant Set",,"Clothing & Accessories › Women › Ethnic Wear › Kurtas & Kurtis","783","2199",,"3.8","718","32","Cocoblu Retail","365+ Days, Legacy, 30+ Days Live, 60+ Days Live, 90+ Days Live",,"No"
"B0D45386XN","B0D6YK4PL4","BH-RAPID-PINK-3XL","BHARVITA Women's Cotton Embroidered Chikankari Work Straight Kurta Dupatta Pant Set",,"Clothing & Accessories › Women › Ethnic Wear › Kurtas & Kurtis","783","2199",,"3.8","718","32","Cocoblu Retail","365+ Days, Legacy, 30+ Days Live, 60+ Days Live, 90+ Days Live",,"No"
"B0D454NQYT","B0D6YK4PL4","BH-RAPID-VIOLET-M","BHARVITA Women's Cotton Embroidered Chikankari Work Straight Kurta Dupatta Pant Set",,"Clothing & Accessories › Women › Ethnic Wear › Kurtas & Kurtis","783","2199",,"3.8","718","32","Cocoblu Retail","365+ Days, Legacy, 30+ Days Live, 60+ Days Live, 90+ Days Live",,"No"
"B0D4596KNQ","B0D6YK4PL4","BH-RAPID-PINK-S","BHARVITA Women's Cotton Embroidered Chikankari Work Straight Kurta Dupatta Pant Set",,"Clothing & Accessories › Women › Ethnic Wear › Kurtas & Kurtis","783","2199","160","3.8","718","83","Cocoblu Retail","365+ Days, Legacy, 30+ Days Live, 60+ Days Live, 90+ Days Live",,"No"
"B0DCTJY4NT","B0DGGQ55D4","BH-BATIK-Maroon-XL","BHARVITA Women's Cotton Blend Regular Wine Straight Printed Kurta with Round Nack 3/4 Sleeves and Pant or Dupatta | Kurta Set for Women",,"Clothing & Accessories › Women › Ethnic Wear › Salwar Suits","799","2199","93","3.4","72","84","Cocoblu Retail","365+ Days, Legacy, 30+ Days Live, 60+ Days Live, 90+ Days Live",,"No"
"B0DCTKP538","B0DGGQ55D4","BH-BATIK-Maroon-L","BHARVITA Women's Cotton Blend Regular Wine Straight Printed Kurta with Round Nack 3/4 Sleeves and Pant or Dupatta | Kurta Set for Women",,"Clothing & Accessories › Women › Ethnic Wear › Salwar Suits","795","2199",,"3.6","82","75","Cocoblu Retail","365+ Days, Legacy, 30+ Days Live, 60+ Days Live, 90+ Days Live",,"No"
"B0DCTKPGRC","B0DGGQ55D4","BH-BATIK-Maroon-S","BHARVITA Women's Cotton Blend Regular Wine Straight Printed Kurta with Round Nack 3/4 Sleeves and Pant or Dupatta | Kurta Set for Women",,"Clothing & Accessories › Women › Ethnic Wear › Salwar Suits","795","2199",,"3.6","82","30","Cocoblu Retail","365+ Days, Legacy, 30+ Days Live, 60+ Days Live, 90+ Days Live",,"No"
"B0DCTL4ZLZ","B0DGGQ55D4","BH-BATIK-Maroon-2XL","BHARVITA Women's Cotton Blend Regular Wine Straight Printed Kurta with Round Nack 3/4 Sleeves and Pant or Dupatta | Kurta Set for Women",,"Clothing & Accessories › Women › Ethnic Wear › Salwar Suits","795","2199","160","3.6","82","84","Cocoblu Retail","365+ Days, Legacy, 30+ Days Live, 60+ Days Live, 90+ Days Live",,"No"
"B0DCTL662Q","B0DGGQ55D4","BH-BATIK-Maroon-3XL","BHARVITA Women's Cotton Blend Regular Wine Straight Printed Kurta with Round Nack 3/4 Sleeves and Pant or Dupatta | Kurta Set for Women",,"Clothing & Accessories › Women › Ethnic Wear › Salwar Suits","795","2199",,"3.6","82","75","Cocoblu Retail","365+ Days, Legacy, 30+ Days Live, 60+ Days Live, 90+ Days Live",,"No"
"B0DCTMGL2R","B0DGGQ55D4","BH-BATIK-Maroon-M","BHARVITA Women's Cotton Blend Regular Wine Straight Printed Kurta with Round Nack 3/4 Sleeves and Pant or Dupatta | Kurta Set for Women",,"Clothing & Accessories › Women › Ethnic Wear › Salwar Suits","795","2199",,"3.6","82","30","Cocoblu Retail","365+ Days, Legacy, 30+ Days Live, 60+ Days Live, 90+ Days Live",,"No"
"B0DFT1XZ5X","B0DHYJFYP3","ZX--Pink-S","BHARVITA Women's Cotton Printed Sequence Work Straight Kurta Dupatta Pant Set",,"Clothing & Accessories › Women › Ethnic Wear › Kurtas & Kurtis","956","3999",,"3.5","821","33","Cocoblu Retail","365+ Days, Legacy, 30+ Days Live, 60+ Days Live, 90+ Days Live",,"No"
"B0DFT23D3N","B0DHYJFYP3","ZX--White-M","BHARVITA Women's Cotton Printed Sequence Work Straight Kurta Dupatta Pant Set",,"Clothing & Accessories › Women › Ethnic Wear › Kurtas & Kurtis","956","3999","602","3.5","821","85","Cocoblu Retail","365+ Days, Legacy, 30+ Days Live, 60+ Days Live, 90+ Days Live",,"No"
"B0DFT8W8KG","B0DHYJFYP3","ZX--Pink-M","BHARVITA Women's Cotton Printed Sequence Work Straight Kurta Dupatta Pant Set",,"Clothing & Accessories › Women › Ethnic Wear › Kurtas & Kurtis","956","3999","602","3.5","821","87","Cocoblu Retail","365+ Days, Legacy, 30+ Days Live, 60+ Days Live, 90+ Days Live",,"No"
"B0DFTFL1VB","B0DHYJFYP3","ZX--Pink-L","BHARVITA Women's Cotton Printed Sequence Work Straight Kurta Dupatta Pant Set",,"Clothing & Accessories › Women › Ethnic Wear › Kurtas & Kurtis","956","3999",,"3.5","821","78","Cocoblu Retail","365+ Days, Legacy, 30+ Days Live, 60+ Days Live, 90+ Days Live",,"No"
"B0DFTG6XWF","B0DHYJFYP3","ZX--Pink-3XL","BHARVITA Women's Cotton Printed Sequence Work Straight Kurta Dupatta Pant Set",,"Clothing & Accessories › Women › Ethnic Wear › Kurtas & Kurtis","956","3999",,"3.5","821","33","Cocoblu Retail","365+ Days, Legacy, 30+ Days Live, 60+ Days Live, 90+ Days Live",,"No"
