"ASIN Code","Product Title","Current Price (₹)","Best Seller Rank"
"B0D44SP9D7","BHARVITA Women's Cotton Embroidered Chikankari Work Straight Kurta Dupatta Pant Set","649","119"
"B0D44TCWXY","BHARVITA Women's Cotton Embroidered Chikankari Work Straight Kurta Dupatta Pant Set","783","74"
"B0D44THJ81","BHARVITA Women's Cotton Embroidered Chikankari Work Straight Kurta Dupatta Pant Set","693","74"
"B0D44TN9S2","BHARVITA Women's Cotton Embroidered Chikankari Work Straight Kurta Dupatta Pant Set (in, Alpha, XL, Pink)","","670"
"B0D44VMS96","BHARVITA Women's Cotton Embroidered Chikankari Work Straight Kurta Dupatta Pant Set","783","74"
"B0D44WM81V","BHARVITA Women's Cotton Embroidered Chikankari Work Straight Kurta Dupatta Pant Set (in, Alpha, L, Pink)","674","664"
"B0D44WN4TY","BHARVITA Women's Cotton Embroidered Chikankari Work Straight Kurta Dupatta Pant Set","537","104"
"B0D44XVV2F","BHARVITA Women's Cotton Embroidered Chikankari Work Straight Kurta Dupatta Pant Set","693","74"
"B0D44XYL35","BHARVITA Women's Cotton Embroidered Chikankari Work Straight Kurta Dupatta Pant Set","649","113"
"B0D44YZSHX","BHARVITA Women's Cotton Embroidered Chikankari Work Straight Kurta Dupatta Pant Set (in, Alpha, 2XL, Pink)","","664"
"B0D44Z6FWV","BHARVITA Women's Cotton Embroidered Chikankari Work Straight Kurta Dupatta Pant Set","559","88"
"B0D44ZQZMG","BHARVITA Women's Cotton Embroidered Chikankari Work Straight Kurta Dupatta Pant Set","693","74"
"B0D451D25Y","BHARVITA Women's Cotton Embroidered Chikankari Work Straight Kurta Dupatta Pant Set (in, Alpha, M, Pink)","674","664"
"B0D452Q34M","BHARVITA Women's Cotton Embroidered Chikankari Work Straight Kurta Dupatta Pant Set","783","100"
"B0D452ZTPW","BHARVITA Women's Cotton Embroidered Chikankari Work Straight Kurta Dupatta Pant Set","783","100"
"B0D45386XN","BHARVITA Women's Cotton Embroidered Chikankari Work Straight Kurta Dupatta Pant Set (in, Alpha, 3XL, Pink)","","664"
"B0D454NQYT","BHARVITA Women's Cotton Embroidered Chikankari Work Straight Kurta Dupatta Pant Set","783","100"
"B0D4596KNQ","BHARVITA Women's Cotton Embroidered Chikankari Work Straight Kurta Dupatta Pant Set (in, Alpha, S, Pink)","674","670"
"B0DCTJY4NT","BHARVITA Women's Cotton Blend Regular Wine Straight Printed Kurta with Round Nack 3/4 Sleeves and Pant or Dupatta | Kurta Set for Women","799","4084"
"B0DCTKP538","BHARVITA Women's Cotton Blend Regular Wine Straight Printed Kurta with Round Nack 3/4 Sleeves and Pant or Dupatta | Kurta Set for Women","799","3742"
"B0DCTKPGRC","BHARVITA Women's Cotton Blend Regular Wine Straight Printed Kurta with Round Nack 3/4 Sleeves and Pant or Dupatta | Kurta Set for Women","799","37474"
"B0DCTL4ZLZ","BHARVITA Women's Cotton Blend Regular Wine Straight Printed Kurta with Round Nack 3/4 Sleeves and Pant or Dupatta | Kurta Set for Women","799","3742"
"B0DCTL662Q","BHARVITA Women's Cotton Blend Regular Wine Straight Printed Kurta with Round Nack 3/4 Sleeves and Pant or Dupatta | Kurta Set for Women","798","4084"
"B0DCTMGL2R","BHARVITA Women's Cotton Blend Regular Wine Straight Printed Kurta with Round Nack 3/4 Sleeves and Pant or Dupatta | Kurta Set for Women","799","2620"
"B0DFT1XZ5X","BHARVITA Women's Cotton Printed Sequence Work Straight Kurta Dupatta Pant Set","956","606"
"B0DFT23D3N","BHARVITA Women's Cotton Printed Sequence Work Straight Kurta Dupatta Pant Set","738","359"
