TASK_ID,TASK_NAME,GROUP_NAME
"01066b9a-7aa3-4f4f-8818-3a98c45ba202","325-Teegital","RetailOps-Production"
"023d0326-55c5-45c3-85c1-56485a463799","AJ1-Brown Culture","RetailOps-Production"
"047670e6-e8a4-4896-8b25-61ec92d54391","267-SAI SILK","RetailOps-Production"
"0784cc9e-6654-4520-a067-945cc04cdc24","501-NAIXA","RetailOps-Production"
"08b211fb-a246-4173-80aa-7663bfd3c637","AJ288-Purvidha","RetailOps-Production"
"0cbfdf0c-23c1-4f2a-aa92-a13d4a2df7a5","129-N.B.F FASHION","RetailOps-Production"
"0ef48610-c367-44ef-ad00-2b74d50543c2","245-CLASSY FASHION","RetailOps-Production"
"0f1792bd-ba46-4493-a217-44434dd6536d","502-KID'S-NAIXA","RetailOps-Production"
"0f5d59a7-9564-40c5-a2cd-99c1c8deb39c","295-Zaierra","RetailOps-Production"
"10a1f9f1-b9ad-45d0-83c8-f4451b7ced2b","161-BESIX","RetailOps-Production"
"13e6b619-77b6-4761-bfc9-6863b892205a","261-VIRALGIRL","RetailOps-Production"
"1536e1b6-da04-44e6-b68d-0a399ec66375","225-FUNKY RICH","RetailOps-Production"
"163ccfce-d63d-433a-9f4f-a0f015cb5dac","736-Bloo Basket","RetailOps-Production"
"166c336f-c2e4-4e84-a4bd-2ed5ac5f1c66","106-NIREN ENTERPRISE","RetailOps-Production"
"16edf64f-b12a-4a7b-b73a-86a778853b3f","AJ248-Keshav Srushti","RetailOps-Production"
"181b7283-746a-4f75-a34e-fda33bb8d6d9","509-Vivatra","RetailOps-Production"
"181ddf3f-7c6b-41bc-ad06-a141f3d1e0bd","258-Kajaru","RetailOps-Production"
"193b62dc-3df8-49f7-a371-28f81334664f","298-HOSI","RetailOps-Production"
"19eaa42d-8d50-4034-8ec4-4ec4e1fe39f4","737-EVOLLUXI","RetailOps-Production"
"1cda9c63-eeba-43ba-9dde-3840581777d5","828-Live2Better","RetailOps-Production"
"1cee0ee6-8556-4841-ad9c-049bcb85bffd","853-Yemark","RetailOps-Production"
"1d8ad1d7-791b-4aea-a615-a6ffc9b0c437","316-PANAS TRENDS","RetailOps-Production"
"1e531fc3-4b78-4591-b487-727a4a6af359","AJ263-HMP FASHION","RetailOps-Production"
"1f37f85f-56df-43fc-b9bf-e1296e0cf02c","314-DOXIC","RetailOps-Production"
"1f679d52-1fa8-4012-8471-d1ce91882265","AJ264-SNOFI CREATION","RetailOps-Production"
"2092805e-1534-4bba-a510-20aebf0e3df2","319-Yagnik Fashion","RetailOps-Production"
"21e5f32b-e759-4acd-ad4e-6f0034b9f898","164-FASHION GALLERY","RetailOps-Production"
"22b6e881-5837-4769-b91e-b2aefd7a9ff3","203-24 CARAT SUIT","RetailOps-Production"
"23654b90-4480-44c0-81f9-ae7cba1c2acd","311-HOYTOCHE	","RetailOps-Production"
"243e20e3-b755-405c-8417-3d0247c350df","614-Parkplus","RetailOps-Production"
"25c92f74-9b9e-4d10-983a-3c26f4a34d54","101-BHARVITA-AJIO","RetailOps-Production"
"26771ef2-289e-4f45-9230-b8e22b62f79c","150-ZOMBOM","RetailOps-Production"
"27bc64e8-d697-4a67-a295-3eef1bac69c5","198-GUFRINA","RetailOps-Production"
"28c9888e-08f1-4962-84ff-4c69482eae9e","173-DEEMOON","RetailOps-Production"
"299a1ea8-e45a-45bc-9ffe-f5091be1fe6f","854-Beloxy","RetailOps-Production"
"29ee99ae-8da1-4783-990e-4e44492303f3","603-V3 Enterprise","RetailOps-Production"
"2a3afc00-2a93-4ff5-a5d3-466ad5c6451b","723-ARABS","RetailOps-Production"
"2a6ff9e5-7d9b-4b4f-ad53-1e475c3300bd","124-SFT","RetailOps-Production"
"2adc9cc1-6cb1-4bc7-9d18-1eaf8b5eaa10","AJ10-HEMADHAV","RetailOps-Production"
"2b79a6bd-3afc-418a-aef1-cabd6454e393","AJ235-HER HAUS","RetailOps-Production"
"2c36136e-a28e-4cd3-8ddc-f37096ff568f","223-MADHUHANSH","RetailOps-Production"
"2d78d8a2-10aa-41df-80c4-fc34205bad1f","269-DISINVENT","RetailOps-Production"
"2fc60997-8f55-4879-8bf5-e251bdd3f423","Retail-Ops-production _Copy","RetailOps-Production"
"30b9f9b3-f633-407e-a051-4da813ee7545","310-JS CLOTHING MART","RetailOps-Production"
"30dd417b-4f21-42b1-bbc1-c64d88f3917c","268-MARGI DESIGNERS","RetailOps-Production"
"36139ffb-0003-4a28-a4df-d2509c868363","221-BELLSTONE","RetailOps-Production"
"36c73c1b-7dc5-43a7-9245-4f26d42ac4c6","AJ225-FUNCKY RICH","RetailOps-Production"
"3817f431-ab00-4cf8-9ca1-f8bc57f0a9f1","309-KIDMORA","RetailOps-Production"
"39155237-8a17-4f1b-854b-bebbf350251d","AJ281-MUNIR","RetailOps-Production"
"3eb44607-96fe-4d94-9e67-565c2045c1fc","AJ268-SOORPRIYA","RetailOps-Production"
"3f06e5d1-8f6b-4871-870c-10e98deffa46","286-URBANOX","RetailOps-Production"
"3f1240e4-55af-4e79-8aec-14377d92fc11","322-AESTHEOS","RetailOps-Production"
"3fdb3c77-df02-4cb5-b0cd-e35c3a45bbb9","190-MACSIVO","RetailOps-Production"
"43c761c0-b97f-47f0-99e8-a958c678fdec","741-Beloxy","RetailOps-Production"
"43d7fb02-3fa8-434e-8202-321a214af3e4","237-RENVAANI FASHION","RetailOps-Production"
"43e6bbcb-882c-4c72-926e-9e3cacbc98eb","846-BuyerZone","RetailOps-Production"
"44d65672-8298-4a5c-9b48-4b5ac3d4f233","318-BLUEZEE","RetailOps-Production"
"470f1574-b95d-482d-bbb2-207ade1b07b3","300-FLOURIOUS","RetailOps-Production"
"4735372d-bdf8-4b87-89de-f452c954c0f7","117-FABRICON","RetailOps-Production"
"489d0929-eb6e-4b6a-ac42-8b9622f11e56","280-VOROXY","RetailOps-Production"
"48f7a935-4008-4269-b4e3-20aff216ed4c","283-La Bento","RetailOps-Production"
"4a16371a-fa59-4120-a2fb-6e129cd377af","AJ14-Adina Claim Comfort","RetailOps-Production"
"4a527215-cb10-4c9e-9557-6e59ae3b771b","233-VJ FASHION","RetailOps-Production"
"4a5e9218-7f4a-4636-b682-012ccbbf1b7c","327-QUMLEEI","RetailOps-Production"
"4b39641b-8d85-4f8b-a053-f1550933b5fd","293-MORE N MORE TRENDZ","RetailOps-Production"
"4b743239-2c0c-4c79-9a66-c45c4e6ba704","AJ201-MAHALLYA Simply elegant","RetailOps-Production"
"4bb5c858-3e1d-461d-a1e9-473816b5f84e","262-4FLIES","RetailOps-Production"
"4d352bc8-32df-41ed-9f65-a275c2e5fbdf","630-Beloxy","RetailOps-Production"
"4f7eec28-cffa-4433-9638-ef6f7c683890","AJ17-Lonexo","RetailOps-Production"
"51f9ad2a-34ba-4a68-b06a-4e351d8bc7b5","328-RBNX SPORTS","RetailOps-Production"
"52444bcf-ded9-48db-b3ba-65e272fc77cd","248-KESHAV SRUSHTI","RetailOps-Production"
"53af5374-c2e2-47c9-90b6-30284f5f3f53","279-ALMAARI FASHION","RetailOps-Production"
"548cc87d-e8c9-42c5-a50a-c05ba563fcc9","215-KESUDI","RetailOps-Production"
"54d0bc93-a2f5-4f16-a208-63a6d673dd22","296-eightone","RetailOps-Production"
"555ab9e6-ff67-4940-bc60-2924f4af5d27","254-FIFTH U","RetailOps-Production"
"555b3691-f581-41ce-807e-62ed9c959fd1","805-V3 Enterprise","RetailOps-Production"
"5805f6ba-368f-44b1-9c90-7d01249d9b88","196-FELIX","RetailOps-Production"
"58f1c11c-21cf-47fb-b7ef-f101b8973cd8","AJ304-Sirhon","RetailOps-Production"
"5927e4a5-17bc-437e-87d3-64bd544e0a6d","260-ANTIQA","RetailOps-Production"
"5998e307-f72f-4772-8fce-aa76783ffd70","307-RODZEN ACTIVE","RetailOps-Production"
"5ae9480e-0aa7-47cf-ae84-d3abdf34087b","226-FIBERMILL","RetailOps-Production"
"5c952ab6-75ff-4bbd-8b4d-7f49d8fe48b2","AJ265-VASTRAVATIKA","RetailOps-Production"
"5d7abe37-980d-4c1c-a232-71f8fc90853d","274-MINIUS","RetailOps-Production"
"5e840f1d-e2df-4ab5-a106-0852a6fca266","246-JASHUDI","RetailOps-Production"
