asin,sku,date,metrics.sales,metrics.spend,metrics.clicks,metrics.impressions,metrics.orders,metrics.conversion_rate,metrics.acos,metrics.roas,metrics.ctr,metrics.cpc,metrics.conversions,metrics.same_sku_sales,metrics.same_sku_orders,metrics.daily_budget,metrics.total_budget,metrics.max_spend,metrics.avg_spend,metrics.total_sales,metrics.total_acos,metrics.total_units,metrics.organic_sales,metrics.organic_orders,metrics.page_views,metrics.ad_sales_perc,metrics.tos_is,metrics.aov,metrics.sessions,metrics.buy_box_percentage,metrics.browser_sessions,metrics.mobile_app_sessions
B0DFMLD5PV,"""None""","""2026-05-24""",11141.95,1301.89,309,59438,27,0.084142,0.1168,8.56,0.0052,4.21,26,6634.32,14,,,,,1897.15,68.62,4,0,0,419,587.3,,428.536538,0,,0,0
B0DFMLD5PV,"""None""","""2026-05-25""",8370.47,1031.49,236,48501,18,0.076271,0.1232,8.11,0.0049,4.37,18,6053.33,13,,,,,1417.14,72.79,3,0,0,324,590.66,,465.026111,0,,0,0
B0DFMLD5PV,"""None""","""2026-05-31""",5987.63,697.89,151,36354,14,0.092715,0.1166,8.58,0.0042,4.62,14,2138.1,5,,,,,427.62,163.2,1,0,0,242,1400.22,,427.687857,0,,0,0
B0DFMLD5PV,"""None""","""2026-05-19""",5691.45,461.42,111,25273,12,0.108108,0.0811,12.33,0.0044,4.16,12,2845.72,6,,,,,1897.14,24.32,4,0,0,180,300.0,,474.2875,0,,0,0
B0DF7FZ46V,"""None""","""2026-05-19""",4270.51,267.16,60,12277,10,0.166667,0.0626,15.98,0.0049,4.45,10,1897.16,4,,,,,474.29,56.33,1,0,0,77,900.4,,427.051,0,,0,0
B0DFMLD5PV,"""None""","""2026-05-22""",4269.56,819.74,173,29931,9,0.052023,0.192,5.21,0.0058,4.74,9,2371.45,5,,,,,2371.44,34.57,5,0,0,231,180.04,,474.395556,0,,0,0
B0DFMLKWMY,"""None""","""2026-05-28""",3641.92,467.36,101,26375,8,0.079208,0.1283,7.79,0.0038,4.63,8,2291.44,5,,,,,895.24,52.2,2,0,0,165,406.81,,455.24,0,,0,0
B0DFMLD5PV,"""None""","""2026-05-23""",3972.41,870.01,205,43380,8,0.039024,0.219,4.57,0.0047,4.24,8,948.58,2,,,,,948.58,91.72,2,0,0,281,418.77,,496.55125,0,,0,0
B0DFMLD5PV,"""None""","""2026-05-17""",2372.39,338.45,72,19658,7,0.097222,0.1427,7.01,0.0037,4.7,7,948.57,3,,,,,0.0,,0,0,0,116,,,338.912857,0,,0,0
B0DFMLD5PV,"""None""","""2026-05-27""",3219.05,438.31,89,22464,7,0.078652,0.1362,7.34,0.004,4.92,7,1889.52,4,,,,,1403.8,31.22,3,0,0,137,229.31,,459.864286,0,,0,0
