asin,sku,date,metrics.sales,metrics.spend,metrics.clicks,metrics.impressions,metrics.orders,metrics.conversion_rate,metrics.acos,metrics.roas,metrics.ctr,metrics.cpc,metrics.conversions,metrics.same_sku_sales,metrics.same_sku_orders,metrics.daily_budget,metrics.total_budget,metrics.max_spend,metrics.avg_spend,metrics.total_sales,metrics.total_acos,metrics.total_units,metrics.organic_sales,metrics.organic_orders,metrics.page_views,metrics.ad_sales_perc,metrics.tos_is,metrics.aov,metrics.sessions,metrics.buy_box_percentage,metrics.browser_sessions,metrics.mobile_app_sessions
B0CJJRDV1P,"""None""","""2026-04-11""",6784.77,486.83,204,11618,17,0.083333,0.0718,13.94,0.0176,2.39,17,4238.1,10,,,,,847.6,57.44,2,0,0,336,800.47,,399.104118,0,,0,0
B0CJJRDV1P,"""None""","""2026-04-14""",6645.73,872.4,327,22321,16,0.04893,0.1313,7.62,0.0146,2.67,16,4380.01,11,,,,,4238.08,20.58,10,0,0,489,156.81,,415.358125,0,,0,0
B0CG232LHC,"""None""","""2026-04-19""",5790.48,404.22,131,11084,15,0.114504,0.0698,14.33,0.0118,3.09,15,2620.0,7,,,,,3390.46,11.92,8,0,0,425,170.79,,386.032,0,,0,0
B0DFPJ3ZBR,"""None""","""2026-04-19""",6600.02,526.89,225,16168,15,0.066667,0.0798,12.53,0.0139,2.34,15,4714.3,11,,,,,2357.13,22.35,6,0,0,405,280.0,,440.001333,0,,0,0
B0CJJRDV1P,"""None""","""2026-04-19""",6726.68,1087.33,412,27531,14,0.033981,0.1616,6.19,0.015,2.64,14,4270.49,9,,,,,1519.98,71.54,3,0,0,319,442.55,,480.477143,0,,0,0
B0CG2563J7,"""None""","""2026-04-15""",4989.53,240.16,77,4654,14,0.181818,0.0481,20.78,0.0165,3.12,14,3385.72,10,,,,,4138.16,5.8,11,0,0,365,120.57,,356.395,0,,0,0
B0DFPN4GKS,"""None""","""2026-04-10""",5979.09,611.48,227,11978,13,0.057269,0.1023,9.78,0.019,2.69,13,5507.66,12,,,,,2822.88,21.66,6,0,0,519,211.81,,459.93,0,,0,0
B0CJJRXQKX,"""None""","""2026-04-03""",5289.54,424.84,192,15458,13,0.067708,0.0803,12.45,0.0124,2.21,13,2501.91,6,,,,,847.62,50.12,2,0,0,349,624.05,,406.887692,0,,0,0
B0CG232LHC,"""None""","""2026-04-14""",4569.52,367.64,118,7030,12,0.101695,0.0805,12.43,0.0168,3.12,12,2257.14,6,,,,,4514.34,8.14,12,0,1,519,101.22,,380.793333,0,,0,0
B0DFPN2848,"""None""","""2026-04-19""",5189.54,814.98,301,16772,12,0.039867,0.157,6.37,0.0179,2.71,12,2828.58,7,,,,,3299.98,24.7,7,0,0,521,157.26,,432.461667,0,,0,0
B0DFPJ3ZBR,"""None""","""2026-04-05""",5652.41,622.91,260,49582,12,0.046154,0.1102,9.07,0.0052,2.4,12,5181.93,11,,,,,2357.14,26.43,5,0,0,434,239.8,,471.034167,0,,0,0
B0DFPH1JHM,"""None""","""2026-04-11""",5652.41,288.35,119,12583,12,0.10084,0.051,19.6,0.0095,2.42,12,5180.98,11,,,,,1885.7,15.29,4,0,0,270,299.75,,471.034167,0,,0,0
B0CJJP189D,"""None""","""2026-04-14""",4656.21,247.16,105,8043,11,0.104762,0.0531,18.84,0.0131,2.35,11,3441.92,8,,,,,1271.42,19.44,3,0,0,203,366.22,,423.291818,0,,0,0
B0DV3NCG2D,"""None""","""2026-04-15""",5193.35,690.42,327,80160,11,0.033639,0.1329,7.52,0.0041,2.11,11,4246.68,9,,,,,4242.86,16.27,9,0,0,515,122.4,,472.122727,0,,0,0
